,sentiment,content
85,1,always thinking look good place appericiate everyone support every site joined
86,0,realaudreykitch seriously kill bath now shower cubicle miss bubble bath
87,0,fml ughhhhhhhhh im going anwhere today sit bedroom share mother cry
88,1,good morning driving work
89,1,googledocs folder instead label like gmail kind like label
90,0,nursebettie meanest lil boy ever lil girl everyone loved
91,0,buzzup would want clone unboxed new quot imac last night beautiful bad mine
92,0,hello aint tweetin day cuz switch thing da new place exhausted sick
93,1,watching st potter film kid eating sweet grotty bank hol weather hoylake typical
94,1,howie d really happy u n leigh thnx sharing happiness u mean world u all love ya marta
95,1,wish would call hc
96,1,donnyeffrien good know pln s earthday happen neck wood
97,0,ugh delivery postponed shes baby til work
98,1,dtatusko thx do always make chatty night
99,0,cayogial wanted come bz summer sure anymore teacher s life summer suck
100,1,chilled day party tomorrow
101,0,family come probably weekend
102,1,sarahjpin good work i ve managed turn studio on envy productivity
103,0,knee surgery back home week
104,1,hey chelsee amiera lt ufc gt
105,0,sooooooooo funny move computer computer render draw come on revit autocad never bad
106,0,rainy day philly look like gonna movie night
107,1,diamond compï¿½tition yaayy tomorow diamond dance best still montrï¿½al
108,0,finsh work eleven even allowd cauz really dont want to lol
109,1,maxcarver hey im fan new zealand loving show even tho soooo behind episode haha keep good work
110,0,yelyahwilliams alright really wish guy could ve done show tennessee now can t go one show
111,0,sweet pea darn think journey like really
112,0,so woke time work boo
113,1,clyp thanks definitely will next season rainy come two month s time
114,0,mi corazonsito tiene frio weather suck
115,1,up coffee hand laminate floor lay footy watch play living dream
116,1,zsafwan much welcome
117,1,sipping oj sun san pedro la soberana again sunny smiley nita garlic tomato paste delicious yummy
118,0,really tired need morning bed good night all
119,0,sad http bit ly bjth love kelly lt
120,1,katoi awww happy birthday
121,1,macpowell awake happy
122,0,rosie day today goal leav house b mom get hmmm maybe rosie day rescheduled for wed
123,0,always feel last
124,0,can t sleep darn frustrating
125,0,saying goodbye papa
126,0,sosimplyme sitting girl urk nerve damm yo
127,1,congratulation manny quot pacman quot pacquiao made every filipino proud filipino
128,0,kateesslemont tried failed
129,1,sun shining brightly day begun what s store wandering around le calanques maybe vin definitely
130,1,jimmymarsh awesome job last night
131,0,home chocolate peanut butter stupid kid bus ruined yearbook
132,0,girl friend also dropped
133,1,roar fear me well thank much spending lot time behind pc focus determination
134,1,spring show super fun
135,1,boardopboy picture never happened
136,1,watching new season eleven dvd
137,1,jerwjr thank you working ddlovato s
138,0,practicing smile today it s gunna big
139,0,good start day left money home hot day looking free carparks
140,0,embossers expensive get one cheap trying save papersource order go tonight sry bank account
141,1,moneymakn thats actually fun would think hurting week similar experience
142,0,work very soon way soon
143,1,westendactress haha miine
144,0,denial moving van parked block away
145,0,denvy oh whoop bad
146,0,xkirstyxo basket case mine miss it going listen shit load
147,0,bird flew window parent house snapped poor neck gotta bury
148,0,ugh report monday
149,1,princess dj xmas week early hehe least last min shopping
150,1,vacant stained http twitpic com jhe love it awesome
151,1,dear journal sex earl tonight amazing thirty second life
152,1,johncmayer lol totally made laugh made day
153,1,http tinyurl com czgn wow wow hope get sort gut near future
154,0,loving weather weekend shame back work tomorrow
155,0,go uploading photo email would ten tenenen tenen done
156,1,firework kboom concert second best ever seen preceded last year s show lt sigh gt
157,0,rest peace adam amp glenn epps gone never forgotten week loud da air ya
158,0,bloomsday sorry hear that optimist thing get better u
159,1,ninjafanpire anytime can t match stamen nice warm comfy bed calling screaming name lol night ninja
160,0,sunny bored sad call text
161,1,lunaliu positive thinker sure keeping around
162,1,already back shopping nice monday roast
163,0,tellie jean think it get state probably still touring dammit
164,0,awake can t get back sleep
165,1,lizzs lockeroom maybe start really like team living year city cup awesome
166,1,omg folding laundry matched sock perfect pair good laundry folding day
167,1,watching groove movie mikecase hubby
168,0,risk sounding like whiny child gotta say i wanna go hoooooooooooomeeeee ugh
169,1,chatted old schoolmate awww miss highschool
170,1,clighty invite house instead
171,0,spare time seems twill spent homework weekend
172,1,lauradawg lol okay song catchy get stuck head
173,0,morning woken neighbour s kid screaming garden am benevolent mood warned
174,1,thaboyophicial good eatin hey follow son pzy
175,1,julieabel weirton julie way north tippy top lol think southern wv folk like u much
176,1,tarraxo sure btw yay wicked ticket that s awesome going
177,1,took math test today day test teacher say bring calculator luke confident teacher decided calcs
178,0,tymrichardson movie tym sad cry non stop
179,0,vagabonddandy bad
180,0,upset see carys donna go today miss hugely already yes ok like hour haaa waaaah
181,0,goodbye hurt
182,0,bronchitis prescription fun all miss two day row work
183,0,hot day making tired
184,0,stormyamorette one day loneliness creep slap face
185,1,jon amp kate kid attracted huge tv audience tabloid headline and now state labor investigation http tinyurl com lzt
186,1,myapplestuff oh cute uniteddogs com poppy
187,1,phone keep beeping me thanks alan speeeeeen
188,0,stomach hurt
189,1,finally going home long night ready crash awesome dream
190,1,roel thank good sir surprisingly good afternoon productive
191,1,mizzlianne that s sweet
192,0,veryyy upset cant go hacienda tonight stupid nugget game
193,0,flu swinish one flu
194,0,chrisdjmoyles justice left dj talent voted n
195,1,going tonight finally wanty lie park but cinema bound look
196,0,hot shower make everything better need sumbody tuck in ugh miss gramma
197,1,much fun tonight soo excited get home go sleep
198,0,getting ready leave girl scout metting don t feel like
199,1,still can t believe matt mccoy interview got view twitter truly is awesome
200,1,davidarchie shoping till drop david haha enjoy day
201,0,im joining twitter lol
202,1,chrissinicole guess thats lol
203,1,emjaystar haha thanks yep definately dream come true excited camera shaking taking photo
204,1,good morning people good old germany soooo cold
205,1,goofygeorge totally welcome come hang wiki it it
206,1,chynadollxo na friend why ask great physique lol
207,1,almost done first day spa i missed place headed fort collins close casa de kent
208,0,mongab want too ya l shoulve gone rm
209,1,audreythebaby gandang mac un ah sure market ma mahal pa sya sa macbook pro ang cool ng concept
210,0,changed hairstyle but good supposed be n think wealthed much money hate hairdresser
211,0,mtmodular pixy number give energy rush playing festival close june work go
212,1,benandskin ah gdit ranger game afternoon
213,1,amandalaur would awesome think hate expensive phone
214,0,apstylebook know need thing life constant
215,0,nataliejanette im jealous im going blogher
216,1,hey elliotcole thank much followfriday failed miserably get list together week
217,1,amber benson loved it continue delight u amber great job backing video adambusch kudos
218,0,making good time fucking chicago traffic photo http bkite com xoh
219,0,fuck ahaha hate life sometimes reply bad thing even bad kidding whatever fml
220,0,adamtheeditor heard disappointing disappointed even seen it waste c bale
221,1,geerlingguy http tinyurl com dlqop good one nice
222,1,joining twitter added random person
223,1,netmogul actually play keyboard pohaku lol played st bday earlier spinning shack
224,0,disappointed cadbury chocolate block got smaller
225,1,happy mother day beautiful mom s day cherish best woman life
226,1,nkangel sweet thanks
227,0,glennbeck husband loosing goverment job due downsizing he looking new job can t find one small town
228,1,heat here
229,1,princejamir thanks follow bro
230,0,computer work hate me call tech support again
231,1,happy star war day everyone
232,1,last full week school
233,1,warmnfuzzy re direct energy creating men s jewelry frequent walk too
234,0,scouserach today rach
235,1,vernaewilliams lancedrummonds two hilaaaaarious love it vernae
236,0,far sick sing got post nasal drip sore throat sent sorry email
237,1,world im chillin bout go get money economy money easy money anymore
238,0,liesboystell one love they really several woman
239,1,watchin tv happy mom day
240,0,world of max sadly no david tennant left particularly want job anyway
241,0,chapter probably monday still need comment
242,1,yay jumeau bag giveaway instantshift bag pretty maybe belt see
243,1,cydonian why enjoy fancy meal smtimes thr s joy solitude u really enjoy food amp lk date world
244,1,mitchelmusso heyyyyy u english fan want signing
245,0,overslept extra sleep nice play havoc day to do list
246,0,friday love party sitter
247,1,algibbs thanks that learned something new today enjoy
248,1,got done turning pre final project computer animation class final due tues class week
249,1,ckanal funny say am filling speak cheer
250,1,peterjrday thanks feel happy make ur day great one enjoy fullest n fun always
251,1,saw star trek amazing seriously good entire cast excellent spock kirk especially want see again
252,1,xo nessa hiyaaa hannah asked wanted come girl aloud wil see skank money somwhere ï¿½ need
253,0,school want read eclipse and some page read
254,1,appledoe mmmm honey mustard chicken w rice amp veges
255,0,dead past day the flu suck
256,1,limeice happy help
257,0,lifeasiceyit yessum see year go maybe head back oct rate go down wanted go bday
258,1,oh sunny
259,1,clockworkmelt lol feel like drunk right now
260,0,annnnnnddd another one bite dust
261,0,zachflauaus note self never ever leave macbook pro stupid icurve fell off
262,1,writing report card soooo tired amazing day check fb soon
263,0,somuchmo aww miss u already def sum wknd lol
264,0,listening new demo song going fantastic done
265,0,teseract got paid hour could retire xbox live thinking rock band
266,1,abbeyemm haha like him go
267,1,raczilla nice beta easports still news online madden
268,0,ugh back killing me
269,0,justkaty guess missed beer good time
270,0,kattekrab tango icon revision
271,1,always sucker sound acoustic guitar
272,0,feel well feel like could throw up throat hurt really bad sad day
273,1,wow party new life awesome girlfriend create ton drama babe party way go w
274,0,finally home exhausted work week over still expect less hour sleep tonight happy mother s day luv mom
275,0,illy s note book quot from one geek another keep good work quot sigh missed great espresso
276,0,ohcherub yeah know mwan
277,1,java concurrency practice probably best java book ever bought there s recipe interrupting blocking io ops
278,0,missed tapulous giving away ttc code
279,0,isaacmascote sorry people rude you isaac get manner know better lewd
280,0,co worker s last day going miss
281,1,yaaaaaaay bday
282,1,zapatos trashcan nacho epic night
283,0,good remembering twitter thing sorry everybody leave tibet today with head cold
284,0,johnpopham morning john yes do however diary clash sadly can t attend
285,1,chemicalbullets thats sweet
286,0,mrkris really dang missed sigh
287,1,morganmartinez dream hanging friend good woke there
288,0,back killing me stupid softball
289,0,awe going meijer walmart walmarts better
290,0,dwsrosec many there got deleted sent day ago cried rr
291,1,sadly awake wondering contact info fun folk hung shop yay b miss guy
292,1,beccamorte oooh neat yes sf good food again jealous sf people
293,1,http bit ly nyhmz dionusia made
294,1,chillen csla waiting start watchin pacquiao rerun
295,1,tiyephoenix dj gig bk hh fest please keep posted live date
296,0,tommcfly hate feeling like
297,0,course rain five minute finish watering flower took half hour water too
298,0,like sick guidance counsellor supposed take kid school bowling amp pizza
299,1,watching water boy grub carnisada yum yum
300,1,silverarcheress ah ok thank youuuuuu
301,0,teeeeeeeeeeeeeth hurt lot mall funnn today made dolla better nothing right hehe
302,1,sun shinning im out
303,0,say miss cousin badly http plurk com p xbha
304,0,dave mueller yes love little bit complicated want bb doesnt work
305,0,weekend bought lost odyssey yay however rrod ed second time
306,0,gonna able talk
307,1,fun chel s nicole cried watching benjamin button exciting night must say
308,0,samgrierson awwww ah well least sober week possibly get gym u gonna make music live xx
309,0,good morning scary world
310,0,justcause summer hour say day end pm doesn t mean really get leave
311,0,bike trail miss j two front teeth hopefully vacation suck
312,0,billbathgate im doofus could happen wahhh im break
313,0,deniserd yo wake as go work go get paper u aint sick dont lie
314,1,time great yakuza horror theatre wish luck
315,1,way home then sleep seeing amber pacific tomorow besties
316,1,excited see girl today takinakab boring work without
317,0,bad day close relative died wont going florida
318,0,sassij gonna chop tiny bit one two
319,0,lulurocks messed up hope day get better
320,1,xodedexo omg get coupon time you obsessed catalog come mail
321,0,kirsty l got excited thought exhibit sydney
322,0,wish chicago
323,0,busy already
324,0,waubonsie lost out soo pissed
325,0,missed iron chef
326,1,going gym early trying get back shape again husb got gift cert swim w dolphin bd need muscle
327,1,mrstravisbennet cool im glad everyone nice date night maybe one day ill get one too
328,0,feeling frustrated i can t get thing work
329,1,caltort tried teriyaki cookie tho got non winning pop tart it great
330,1,jtsui wish could sat thats super busy day sunday perhaps playing football dolores park too youre welcome come hang
331,1,got nasty argument someone normally like much forgive well either
332,1,listening music
333,0,vegasrex wish time back airport already
334,1,chilling listning seal
335,1,thefifthsister happy came said hi twas nice meet indeed thanks much coming talking
336,1,sadknob right happy win packet salt n vinegar crisp new exhaust mine fell a
337,1,leaving florida want live forever texan girl
338,0,mind sunshine walk you summer
339,1,listening house music what else got gig san francisco next friday detail www myspace com djspy
340,1,wow someone s proud me
341,0,miss oklahomaaaaa listening citizen cope til pas out
342,0,im sooo sore back hurt leg weak im dehydrated go set mom furniture gay
343,0,wiccawise idiot ok mostly skint hell could ve done something
344,0,way sleepy awake
345,1,home work hour sleep putting mile new bike
346,1,tabithalynnne lmao yep
347,0,going lumberjack party
348,1,miss concert tuesday already really like time machine go see again fun
349,0,poojashetye break via second phone call
350,0,sims work old macbook hope get sims tomorrow
351,0,one call awww wish could talking minute
352,0,kimgoss saying past week miss playing spade drinkin chillin good old day let know baby
353,0,amandadiva laundry last two day
354,0,also anyone else hayfevery today awake min sufferin already
355,1,yes
356,0,hear tonight last jleno show
357,1,gotta go twitterer stupid sister want go facebook oging montreal morrow wont while bye xoxox lt
358,0,azamann hah eeee although understandable need new picture thing sweaty
359,1,dad s posting got postponed one hour meant leave either going afganistan nowhere sorta happy gutted
360,1,lived band s first performance pretty damn fun
361,1,patriciap thanks follow
362,0,naontiotami no missed
363,1,happy mother day mom
364,1,happy mother s day mama today
365,1,perfect sunday morning sun shining feel good time perfect breakfast
366,1,everbrandy nice capture
367,0,donttreeriddle oh no melted ice cream want
368,0,quot my problem miss you cause don t quot
369,0,get instant sad face see little kid lose balloon
370,0,sweaty tired lap run gonna sun run next year matter what
371,1,legmin http twitpic com jaz cool luv
372,1,emmielovegood nope way home now
373,0,rebeccao bad but get bad news afternoon got stopped police brake light ï¿½ fine
374,0,getting swing thing miss someone
375,1,blooddrunk sick totally getting gh bad guy get play boston
376,0,little sister told double chin aww
377,1,finally plugged listen flashpoint http www kpfa org shoutout norabf missed segment chevron
378,1,johna hi uploaded completely new chinese lesson www youtube com chineselearn please feel free watch enjoy
379,0,home marble fall back reality
380,1,chloe yes youtube may th made feel x better halarious
381,0,still tired due late night work b early moro work bad time
382,0,maximillian oh dear that s just disturbing coffee connoisseur died little
383,0,finished exam almost moved hall leaving london tomorrow
384,1,mateoonline sure u did can t w morrow shw happy mommy day me
385,0,aw lose guy ten day lt
386,1,ahhh finally went yogurtland saved spoon hahaha
387,1,aquapunk mintyfresh thanks much
388,1,ton fun w muffin today
389,1,hey star sending florida sunshine way supertramp ï¿½ raining ï¿½ djdolcevita m http blip fm jucn
390,0,getting hair done missing
391,1,humm adore mark hoppusday so going throw hoppusday nice hoppusday people
392,1,happy star war day may th via nige goth
393,0,tbh credit phone sux cant even text people see what s happening like totally grrrsville
394,1,going work amazing charity event big brother big sister mind working good cause
395,0,bigheadasian ahhh can t one will la vega weekend noctweetup
396,0,gonna miss gurl shes honeymoon
397,1,xsub ruby skye last night well superb set steve last hour loaded thrillseekers material old new
398,0,fjgkfld sdh hometown day friend
399,1,finally upgraded spotify premium exceeded threshold awesomeness time ago where s iphone app amp remote spotify
400,1,aight pau au au heading blaisdell arena lady s concert cheehee awwrrite
401,1,twitter useful reminds people forgot ask given day also excellent inspiration
402,1,aaauuuggghhh n out check mcdonald s check haha next hot cheetos
403,0,ozzblair hug bad day having
404,0,spyed princess anne today listented friend cooking perfect evening working suck ob
405,0,lost friend didnt anything
406,1,happy mother s day
407,1,mile run meter swim thing looking better better laying bike today
408,0,front tv wats score inning
409,0,suprisingly okay possibly still drunk goodbye suck though
410,0,internet big fail today twitter usual semi flaky self facebook vrbo com boo
411,0,sick suck im me ohbabayy
412,1,jonasbrothers please nick say happy birthday me birthday yesterday
413,0,stii no make realise doomed humanity usa
414,0,ended face face bear driving home evening sadly took wood hauled cameraphone
415,0,omg parent today fighting mine
416,0,p bgt fab sad thought greg awesome sad gone child always win situation sadly
417,0,tonight last night jay leno gonna cry like baby
418,1,finished watching last star war
419,0,lancearmstrong chance seeing race germany unfortunately hardly tv amp news coverage cycling anymore
420,0,jessicaveronica guy gonna tour short stack again missed last tour friend went said mad
421,1,shanedawson haha yay love mr shane dawson
422,1,digital geisha savasavasava real lovely around someone refreshingly analog interest
423,0,sickkkk and need now
424,0,got exam centre n said can t let u becuz sleeveless top u cud believe that go home
425,0,brittanytastic aww that s horrible xd
426,0,one want sit lunch guess bury head laptop continue anti social
427,1,sulumits retsambew thinking billion here billion there pretty soon add real money
428,1,came back seeing boat rocked amazingly cool movie definitely getting dvd
429,1,boarding us enterprise warp speed ahead fb
430,0,argue byron said im fat
431,0,drat land boot died once think boot like parsley one going seed first season now
432,0,onlyme girl yes cant see wont gross enough
433,0,nursedoublek someone help makeup you gots go looking fine another shot
434,1,gotta church ten camera meeting finally d lol
435,1,coffee gym studio story of my life these day grateful
436,1,marimcfly morning happy juddday
437,1,baked cake amp watching movie
438,0,can t go movie today
439,1,square will thanks
440,0,daddy left go back home texas c hopefully n next two month
441,0,bloodyironist suck woot misha
442,0,amerz love it wish half could even name web design lady
443,0,sorry gpgmail
444,0,kellyolexa monday start friday least work day week long day
445,1,sassij that s good hear morning
446,0,demi super girl like french fan
447,1,faeriegal yep finished chocked full spelling grammatical error cleaning tomorrow popping hehe
448,1,good night im sleeep good mornining xd
449,1,think people would buy slap chop commercial like this http bit ly vqiuf
450,1,know funny thing everyone packing e packing go mexico e
451,1,goodmorning yall woke early
452,1,going beautiful day
453,0,d version sold regular version is
454,1,cssglobe hahah lab hr lab ba seems think similar way
455,1,sambennington welcome twitter really cool here greeting vienna austria
456,0,plan evening dinner shopping dress shirt watching up going bed plan saturday funeral friend
457,0,katiefreeze miss you lonely empty without you http yfrog com ozxoj
458,0,suziebee yes dear opff bblr
459,0,pickleshy tongue cheek mentality there another one take piss arab long
460,1,stephanewws thanks finding me wonderful evening
461,0,flu pas unto andy went shopping got fresh chicken chicken soup but d amp d sat is sad panda
462,1,natdaworks hope show going well wanted u know im home now muah
463,0,traceyhewins tired may go bed trouble miss american evening friend x
464,1,omg hollyoaks well dramatic
465,0,mean people suck
466,0,stick stone may break bone but word hurt forever
467,1,great date last night tried find cdcaves daniel hilariously fun
468,0,angelofmusic can t toy story come june
469,1,mcmedia husband golfing amp toddler shall frolic consummate mama im happy day
470,0,myke yooo myyyyye bust sick tooo shoot me long night tonight
471,0,weekend went way fast way work david archuleta tow
472,0,himoverthere awww poor leg sends virtual hug x
473,0,beautiful night im stuck inside feelin ill instead crazzzzzzzy as party
474,1,made tonight watching little kid swim watch movie haha love babysitting haha
475,0,oh god my favorite havaianas broke three year service missed molded perfectly foot
476,1,sadie marie better hudgens omg song came shuffle would city high
477,0,angiemartinez too florida last weekend rain came back home ri rain terrible
478,1,mercedez ta much happy b day g son
479,1,red win great end great day
480,1,paulharriott hahaha tv really thing anyway i music girl
481,0,sad beautiful marisa dress leaving today tear
482,1,law order yeah stay home sat nite
483,0,shotdown haha stay nearly hour coach get here may convenient hour tv
484,1,heading kitsilano bbq weather b e a utiful x
485,0,sick fighting look like burlesque
486,0,johnhensel hate u wait one week see cuz puerto rico still coming soon
487,1,playing question chris
488,1,usher guy made mother s day really awesome today thanks coming early prep surprise gift mom
489,1,caffeinefueled welcome back
490,1,rose romance released thursday gonna get bps
491,1,happy nurse week first one rn s
492,0,getting used getting cold asthma paying it
493,0,wanted greg pritchard go silly sobby hopelessly dull little girl hollie steel is
494,1,ikonora great night
495,1,excellent suzaku back together woop last episode hope happy one sucker really lol shh
496,1,echoinghim pleasure playing guitar you fun
497,0,discovering kindred spirit line there
498,0,sink hospital toilet low crotch grey suit spattered water time physio
499,1,cousin leon born today
500,0,breagrant thought one best hero pitty killing good character use thing lol
501,1,choosing britney dance showcase yesss cant wait day
502,0,rpulse clicked check picture angelina went spam site ordering check go figure
503,0,figure quoted wildly optimistic stuff science fiction bit disapointed ciber sabip
504,1,prayin dad wellington fl http loopt u f jqg t via furman live welly may pray f http bit ly lbsn
505,0,think getting cold
506,0,icecream truck never come house
507,1,marge inovera hi jakki thanks hug right back ya
508,1,rachel pengov extremely so incredible mood
509,1,stapler haiku whar night woo hoo yeah beautiful night party oops stapler
510,1,omg back know week brother took laptop mexico online
511,0,evonmichelle mum s lol got anything yet sad sad haha
512,1,drinking yay
513,0,greg pritchard robbed place final bgt cry baby bitch face got instead
514,1,cocosbutter already good i got meet you
515,0,great first impression little netbook downside access hatch upgrade ram
516,1,nextread agree keep star trek make commercially viable c mon
517,1,passed driver test drive oh wait turn till october
518,1,whiteangle held out japanese people making origami animal darcy great time amazing place
519,1,baldy za thanks man can t wait
520,1,wethetravis hope happens tomorrow ill providing dad get better take
521,1,beccyr program show twitter facebook status update one alright yeah probably use often
522,0,msalonen can t get load wanted everyone see quot bette davis eye quot remix video today boooooo
523,1,paula mcfly haha yeah heard leicester home self movie candy pizza amazing evening
524,0,today sore surgery day glad took extra sick day full recovery expected week calling lawn service firm today
525,1,m delamerced judge answer fid duty tort lawyer u r good this it like oj trial done
526,0,friend went new york without got picture smith http twitpic com l
527,0,missed play
528,1,want go catch happy hour sonic get strawberry lemonade slush ameshaye put them but dont car super
529,0,miss friend
530,1,land pillow blanket mm fan high mention blanket favorite time ever
531,0,wanna go beach but study
532,0,lonejohnny awwww waiting then hope rain
533,1,got back greenlake nice day today
534,0,feel like death evil headache need pack drive parent bum
535,1,steph atticus thank
536,1,yuniphan yay congratulation oh newly minted graduate let buy lunch iced chocolate plural celebrate
537,0,doc said bone look quot fine enough quot also see rhumatologist old lady
538,1,lt new picture pretty reflecting sunlight leaf
539,0,wish jonathon ross audience right
540,1,good morning world hope everyone ok
541,0,skype call billie webcam dont work
542,0,supposed great weather today amp moro luck im stuck work day
543,0,tired really exciting saturday oh well hope better tomorrow
544,0,wish people stubborn sometimes
545,0,feel like last night dream well guess say nightmare
546,1,read pretty awesome web comic today there s nothing really good woot today http myloc me gf
547,1,jerrytrainor never miss icarly son huge crush miranda
548,0,sucking abbreviation today sorry sentence look like eight year old typing them lol
549,0,raining
550,0,seandblogonaut daddy wanted buy shoe prettie esspensive nao haff go bearfoot
551,0,mitchelmusso sad got money phone ahh well lly mitchel xx
552,1,hair look completely retarded success
553,0,hard start week long fun sunny weekend tennis free food drink nice people day go next round
554,1,desert paradise hi dale welcome man hope ur weekend going well think would enjoy desert paradise fun fun fun
555,1,bamablockhead no good price considering going see right
556,1,bb yes said hour
557,1,ok got nail done day sweet
558,1,looked cute too
559,0,want face somatic drawing david lanham want leopard theme somatic theme im sad im big fan
560,1,coraline scary yesterday puke luckily ahaa week amp day till baby
561,1,phreshlyphaded oh wow thanks info
562,0,going excursion week twitting
563,0,ill bored bank holiday nothing open bad time film
564,0,miss smile
565,1,amyyyxoxo ahh gtg pls help number come back later see u said haha plz thank u
566,0,can t believe leaving place tomorrow
567,0,seattlewillow well work leah might something embry
568,0,poor greg stupid uk always sympathy vote xo
569,0,displayspook damn missed
570,1,watching movie rocking baby kitty asleep sling hanging neck cute
571,0,mrinklin started saving tumblr draft happened week sad
572,0,cynthiay dr hook awesome
573,0,really cant take this
574,1,baby god sad really oh well life partaaay xxxxxxxxxx
575,1,feel like bright new t shirt wish one
576,0,good place grab quick healthy lunch downtown golden look like may safeway
577,0,sickk tomorrow disaster get better
578,0,playing zeke leaving today
579,0,xxxmaggie oh suck sorry
580,0,arikhanson shoot voted somehow looked boo hiss forgive great weekend arik
581,1,yay only sunday maid came house clean again
582,0,love summer oddly want school year end
583,1,fun summer
584,0,another week start
585,1,mistressmia heard title author before must look enjoy
586,1,knack iphone got melted chocolate speaker can t hear ring
587,0,hootsuite darnit see happens avoid teh interwebs work
588,0,dangit got kiss album wrong color
589,1,hunabku swine flu victim unite http oinkflu info
590,1,review done new sentence iknow done wow role
591,1,proud nau graduate friend getting ready celebrate tonight international ordeal
592,1,getting excited thorpe park tomorrow
593,1,jimhunt smile one avatar permanent condition
594,1,ultraviolet thing know star trek joke tina fey s twitter quot may th you quot
595,1,going camping coupla hour gotta pack everything
596,1,getting ready summy yummy cocoa crispies
597,1,sirlp may th may force etc got know star war really appreciate
598,0,chrisbrownweb according bow wow his best friend chris twitter want hater probably
599,0,lilyroseallen yes there many cool thing american cannot watch
600,1,last week school final yesss
601,1,paul scanlon sharing god s word morning sounding bit hoarse perhaps touch cold hold pastor back
602,1,pulled breakfast sausage mother day hopefully baby sleep
603,1,willye going sleep kidding p
